sku;name;brand;price;qty;qty_holded;VMD;VMD30;qty_complete;qty_fraud;qty_fraud2;qty_complete2;status
2011;Boné Oficial Lyoto - Bony Açaí;Bony Açaí;64.9;0;0;0.0;0.0;0;0;0;0;Enable
28;BCAA TOP 240 Cápsulas - Integralmédica;Integralmédica;99.9;2;3;5.0;0.2;0;2;0;0;Enable
29;Nutri Whey Protein 840g - Integralmédica - Morango;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
30;Nutri Whey Protein 840g - Integralmédica - Chocolate;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
31;Nutri Whey Protein 840g - Integralmédica - Baunilha;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
204;Nutri Whey Protein 840g - Integralmédica;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Disable
32;Therma Pro Hardcore 60 cápsulas - Integralmédica;Integralmédica;62.9;0;0;0.0;0.0;0;0;0;0;Enable
38;LA Top Definition 120 cápsulas (com Cromo) - Integralmédica;Integralmédica;109.9;0;1;0.0;0.0;0;0;0;0;Enable
34;Blade N.O EXPLODE Darkness 409g - Integralmédica;Integralmédica;189.9;0;0;0.0;0.0;0;0;0;0;Disable
65;Creatina Hardcore 120 Cápsulas - Integralmédica;Integralmédica;54.9;1;0;1.0;0.033;0;0;0;0;Enable
27;BCAA TOP 120 Cápsulas - Integralmédica;Integralmédica;62.9;4;1;6.0;0.2;0;2;0;0;Enable
37;ISO CFM Zero Carb 907g - Integralmédica - Morango;Integralmédica;169.9;0;0;0.0;0.0;0;0;0;0;Enable
203;ISO CFM Zero Carb 907g - Integralmédica;Integralmédica;164.9;0;0;0.0;0.0;0;0;0;0;Enable
230;Nutri Mass 7000 1,5kg - Integralmédica;Integralmédica;59.9;0;0;0.0;0.0;0;0;0;0;Enable
157;ISO CFM Zero Carb 907g - Integralmédica - Morango e Banana;Integralmédica;169.9;0;0;0.0;0.0;0;0;0;0;Enable
161;ISO CFM Zero Carb 907g - Integralmédica - Coco;Integralmédica;169.9;0;0;0.0;0.0;0;0;0;0;Disable
36;Mega Pack Nitro Shock 44 packs - Integralmédica;Integralmédica;102.9;0;0;1.0;0.067;0;1;0;0;Enable
46;Nutri Mass 7000 1,5kg - Integralmédica - Chocolate;Integralmédica;54.9;0;0;0.0;0.0;0;0;0;0;Enable
47;Nutri Mass 7000 1,5kg - Integralmédica - Baunilha;Integralmédica;54.9;0;0;0.0;0.0;0;0;0;0;Enable
49;Nutri Mass 7000 1,5kg - Integralmédica - Banana e Maça;Integralmédica;54.9;0;0;0.0;0.0;0;0;0;0;Enable
231;Nutri Mass 15000 - 3kg - Integralmédica;Integralmédica;99.9;0;0;0.0;0.0;0;0;0;0;Enable
54;Nutri Mass 15000 - 3kg - Integralmédica - Baunilha;Integralmédica;94.9;0;0;0.0;0.0;0;0;0;0;Enable
492;Boné Lyoto - Bony Açaí - Tamanho GG;Bony Açaí;64.9;0;0;0.0;0.0;0;0;0;0;Enable
55;Amino BCAA 150 Tabletes - Integralmédica;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
209;Super Whey 5W - 907g - Integralmédica;Integralmédica;129.9;0;0;0.0;0.0;0;0;0;0;Enable
