sku;name;brand;price;qty;qty_holded;VMD;VMD30;qty_complete;qty_fraud;qty_fraud2;qty_complete2;status
37;ISO CFM Zero Carb 907g - Integralmédica - Morango;Integralmédica;169.9;0;0;0.0;0.067;0;0;0;0;Enable
45;Nutri Mass 7000 1,5kg - Integralmédica - Morango;Integralmédica;54.9;0;0;0.0;0.067;0;0;0;0;Enable
493;Boné Lyoto -  Bony Açaí - Tamanho M ;Bony Açaí;64.9;0;4;4.0;0.4;0;0;0;0;Enable
38;LA Top Definition 120 cápsulas (com Cromo) - Integralmédica;Integralmédica;109.9;0;0;1.0;0.167;0;1;0;0;Enable
161;ISO CFM Zero Carb 907g - Integralmédica - Coco;Integralmédica;169.9;0;0;0.0;0.0;0;0;0;0;Disable
204;Nutri Whey Protein 840g - Integralmédica;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Disable
231;Nutri Mass 15000 - 3kg - Integralmédica;Integralmédica;94.9;0;0;0.0;0.0;0;0;0;0;Enable
160;ISO CFM Zero Carb 907g - Integralmédica - Baunilha;Integralmédica;169.9;2;0;2.0;0.4;0;0;0;0;Enable
162;Combo Fit Belt + Cellu Lipo - Nutricé;Nutricé;169.9;0;0;0.0;0.0;0;0;0;0;Enable
46;Nutri Mass 7000 1,5kg - Integralmédica - Chocolate;Integralmédica;54.9;0;0;0.0;0.1;0;0;0;0;Enable
54;Nutri Mass 15000 - 3kg - Integralmédica - Baunilha;Integralmédica;94.9;0;4;0.0;0.267;0;0;0;0;Enable
55;Amino BCAA 150 Tabletes - Integralmédica;Integralmédica;49.9;0;0;0.0;0.033;0;0;0;0;Enable
56;Super Whey 5W - 907g - Integralmédica - Morango;Integralmédica;129.9;0;0;0.0;0.0;0;0;0;0;Enable
29;Nutri Whey Protein 840g - Integralmédica - Morango;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
57;Super Whey 5W - 907g - Integralmédica - Cookies;Integralmédica;129.9;0;0;0.0;0.067;0;0;0;0;Enable
58;Super Whey 5W - 907g - Integralmédica - Chocolate;Integralmédica;129.9;0;0;0.0;0.0;0;0;0;0;Enable
59;Super Whey 5W - 907g - Integralmédica - Baunilha;Integralmédica;129.9;0;0;0.0;0.0;0;0;0;0;Enable
61;Super Whey 5W 2,3kg - Integralmédica - Cookies;Integralmédica;247.9;0;0;0.0;0.0;0;0;0;0;Disable
65;Creatina Hardcore 120 Cápsulas - Integralmédica;Integralmédica;54.9;0;0;0.0;0.067;0;0;0;0;Enable
66;Creatina Hardcore 120 Tabletes - Integralmédica;Integralmédica;36.9;1;0;1.0;0.1;0;0;0;0;Enable
69;Creatina Reload Hardcore 125g - Integralmédica;Integralmédica;34.9;0;0;0.0;0.0;0;0;0;0;Disable
70;Creatina Reload Hardcore 375g - Integralmédica;Integralmédica;74.9;0;0;0.0;0.0;0;0;0;0;Disable
91;VO2 Slim Protein Bar 12 unidades - Integralmédica - Chocolate;Integralmédica;34.9;0;0;0.0;0.2;0;0;0;0;Enable
30;Nutri Whey Protein 840g - Integralmédica - Chocolate;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
31;Nutri Whey Protein 840g - Integralmédica - Baunilha;Integralmédica;49.9;0;0;0.0;0.0;0;0;0;0;Enable
32;Therma Pro Hardcore 60 cápsulas - Integralmédica;Integralmédica;62.9;2;2;2.0;0.167;0;0;0;0;Enable
93;VO2 Slim Protein Bar 24 unidades - Integralmédica - Chocolate;Integralmédica;73.9;2;1;3.0;0.633;0;1;0;0;Enable
215;VO2 Slim Protein Bar 12 unidades - Integralmédica - Frutas Verm/Yogurt;Integralmédica;34.9;0;0;0.0;0.2;0;0;0;0;Enable
216;VO2 Slim Protein Bar 12 unidades - Integralmédica - Morango;Integralmédica;34.9;0;0;0.0;0.0;0;0;0;0;Enable
217;VO2 Slim Protein Bar 12 unidades - Integralmédica - Coco;Integralmédica;34.9;0;0;0.0;0.0;0;0;0;0;Enable
225;Deca Protein 1kg - Integralmédica;Integralmédica;79.9;0;0;0.0;0.0;0;0;0;0;Enable
98;Deca Protein 1kg - Integralmédica - Morango;Integralmédica;79.9;0;0;0.0;0.0;0;0;0;0;Enable
203;ISO CFM Zero Carb 907g - Integralmédica;Integralmédica;174.9;0;0;0.0;0.0;0;0;0;0;Enable
209;Super Whey 5W - 907g - Integralmédica;Integralmédica;129.9;0;0;0.0;0.0;0;0;0;0;Enable
232;VO2 Slim Protein Bar 24 unidades - Integralmédica;Integralmédica;73.9;0;0;0.0;0.0;0;0;0;0;Enable
47;Nutri Mass 7000 1,5kg - Integralmédica - Baunilha;Integralmédica;54.9;0;0;0.0;0.067;0;0;0;0;Enable
62;Super Whey 5W 2,3kg - Integralmédica - Chocolate;Integralmédica;247.9;0;2;0.0;0.2;0;0;0;0;Enable
51;Nutri Mass 15000 - 3kg - Integralmédica - Morango;Integralmédica;94.9;0;0;0.0;0.133;0;0;0;0;Enable
48;Super Whey 5W 2,3kg - Integralmédica - Morango;Integralmédica;247.9;0;0;0.0;0.067;0;0;0;0;Enable
494;Boné Lyoto - Bony Açaí - Tamanho G;Bony Açaí;64.9;0;0;0.0;0.0;0;0;0;0;Disable
208;Super Whey 5W 2,3kg - Integralmédica;Integralmédica;247.9;0;0;0.0;0.0;0;0;0;0;Enable
492;Boné Lyoto - Bony Açaí - Tamanho GG;Bony Açaí;64.9;0;0;0.0;0.067;0;0;0;0;Enable
63;Super Whey 5W 2,3kg - Integralmédica - Baunilha;Integralmédica;247.9;0;0;0.0;0.067;0;0;0;0;Enable
64;Creatina Hardcore 60 Cápsulas - Integralmédica;Integralmédica;42.9;0;0;0.0;0.033;0;0;0;0;Enable
210;VO2 Slim Protein Bar 24 unidades - Integralmédica - Coco;Integralmédica;73.9;1;1;1.0;0.467;0;0;0;0;Enable
213;VO2 Slim Protein Bar 24 unidades - Integralmédica - Morango;Integralmédica;73.9;0;0;1.0;0.367;0;1;0;0;Enable
214;VO2 Slim Protein Bar 12 unidades - Integralmédica - Frutas Verm/Choc. Branco;Integralmédica;34.9;0;0;0.0;0.2;0;0;0;0;Enable
230;Nutri Mass 7000 1,5kg - Integralmédica;Integralmédica;54.9;0;0;0.0;0.0;0;0;0;0;Enable
28;BCAA TOP 240 Cápsulas - Integralmédica;Integralmédica;99.9;3;0;3.0;0.733;0;0;0;0;Enable
